domain,feature,z_lower,z_upper,n_low_clipped,n_high_clipped,n_any_clipped,fraction_any_clipped,raw_z_abs_max,projected_z_abs_max,mean_abs_projection_change
tallyqa_posthoc_development,baseline_numprob_8,-0.4139281685690077,3.2674574815693105,8,0,8,0.002,3.0176358441617936,3.0176358441617936,3.77364505199651e-11
tallyqa_posthoc_development,baseline_numprob_9,-0.2479389040834854,6.543592614271351,7,0,7,0.00175,4.585270824598915,4.585270824598915,5.375721416622792e-11
tallyqa_posthoc_development,baseline_numprob_10,-0.1304395507224813,14.05797976434379,15,0,15,0.00375,9.602695031238973,9.602695031238973,6.578563440662322e-10
tallyqa_posthoc_development,baseline_numprob_11,-0.0733527354875782,20.99135874452137,0,1,1,0.00025,26.15921067900414,20.99135874452137,0.0012919629836206923
tallyqa_posthoc_development,baseline_numprob_12,-0.0495662499962673,29.39301076555181,0,2,2,0.0005,59.168410309117874,29.39301076555181,0.008286921883139916
tallyqa_posthoc_development,baseline_numprob_13,-0.0502446901382875,29.661870704799345,0,65,65,0.01625,1718.1717037020614,29.661870704799345,3.1710067047988515
tallyqa_posthoc_development,baseline_numprob_14,-0.0953905542244125,28.84420886122841,0,282,282,0.0705,58995.904460785874,28.84420886122841,156.53798037033073
tallyqa_posthoc_development,baseline_numprob_15,-0.7241756491090164,10.100862003138817,2,842,844,0.211,504829.80446228903,10.100862003138817,1278.6669296401888
tallyqa_posthoc_development,geom_top2_prob,-0.6597325371949198,3.093758778722447,0,6,6,0.0015,3.0970191722735376,3.093758778722447,2.2998253824083605e-06
tallyqa_posthoc_development,geom_expected_minus_pred,-3.145602062194039,6.215979237142206,45,112,157,0.03925,39.25671745525206,6.215979237142206,0.21106397075567215
tallyqa_posthoc_development,geom_p_down1,-0.3971890847590052,4.6317227323278285,397,5,402,0.1005,4.633302023122132,4.6317227323278285,3.6771496804534897e-06
tallyqa_posthoc_development,geom_p_up1,-0.4928701767006723,3.951178916796997,5,6,11,0.00275,3.955039130975306,3.951178916796997,2.728898278098357e-06
tallyqa_posthoc_development,geom_p_down2,-0.1316796703292279,23.34747854507326,2044,214,214,0.0535,414.4340551929526,23.34747854507326,3.8113095721765182
tallyqa_posthoc_development,geom_p_up2,-0.1011005490593944,28.61527049458644,7,7,14,0.0035,41.50929746402012,28.61527049458644,0.00745965160082157
tallyqa_posthoc_development,geom_local_asymmetry,-3.1661544858317487,3.128849671197165,5,4,9,0.00225,3.167769243773571,3.1661544858317487,3.1021045556556272e-06
tallyqa_posthoc_development,geom_up_mass,-0.4894605491787615,5.280748760370126,5,17,22,0.0055,6.625532867549837,5.280748760370126,0.001622968037103263
tallyqa_posthoc_development,geom_down_mass,-0.4031660419423601,4.609581834311682,444,32,476,0.119,8.812319166717806,4.609581834311682,0.00823012693408763
tallyqa_posthoc_development,geom_signed_tail_mass,-3.121620318796411,4.141295505667796,14,11,25,0.00625,5.656367844075151,4.141295505667796,0.0040942425795500855
tallyqa_posthoc_development,geom_up_distance_mass,-0.4820007510008542,7.926599192291027,5,140,145,0.03625,45.73835747579731,7.926599192291027,0.24676587136543102
tallyqa_posthoc_development,geom_down_distance_mass,-0.4260551981377457,4.675533275809323,444,105,549,0.13725,64.37055420657146,4.675533275809323,0.11968261945735197
tallyqa_posthoc_development,geom_signed_distance_mass,-3.1456020621940457,6.215979237142204,45,112,157,0.03925,39.256717455252094,6.215979237142204,0.21106397075567235
tallyqa_posthoc_development,geom_up_boundary_gap,-3.584529050731304,0.6318348334284418,0,0,0,0.0,3.584529050731304,3.584529050731304,0.0
tallyqa_posthoc_development,geom_down_boundary_gap,-3.884817271522052,0.6281795597725508,66,0,66,0.0165,4.088345971268851,3.884817271522052,0.0012288401334725157
tallyqa_posthoc_development,geom_up_down_logratio,-2.6954843430418958,2.427886767606354,5,368,373,0.09325,6.050856154056877,2.6954843430418958,0.25153242904693546
