feature_index,feature,train_mean,train_scale,raw_min,raw_q001,raw_q01,raw_q05,raw_median,raw_q95,raw_q99,raw_q999,raw_max,z_min,z_q001,z_q01,z_q05,z_median,z_q95,z_q99,z_q999,z_max,abs_z_max
20,baseline_numprob_13,9.62823837967822e-06,0.00019160570210330127,1.0692487688155199e-09,1.3304376740573715e-09,2.12586211260221e-09,5.964018985324998e-09,1.195317060611228e-07,1.4527186788548897e-06,1.2786503131312818e-05,0.0018075357415315708,0.0056930118004701,-0.05024469013828756,-0.05024332697997664,-0.050239175618979476,-0.050219144081135925,-0.04962642848953746,-0.042668457207059654,0.016483145944852243,9.383371598109218,29.661870704799345,29.661870704799345
21,baseline_numprob_14,5.361677067666297e-07,5.580397329298716e-06,3.850512732393393e-09,4.943053409466364e-09,6.75805759404946e-09,1.2625467486742332e-08,1.141731909053631e-07,8.093295605613473e-07,2.649514167937638e-06,4.706479280358897e-05,0.0001614983138017,-0.09539055422441257,-0.09519477234498676,-0.0948695259373423,-0.09381809365636704,-0.0756208726654054,0.048950251689165204,0.3787089586032382,8.33786957293049,28.844208861228406,28.844208861228406
22,baseline_numprob_15,5.092615811533367e-07,6.972043028902016e-07,4.363202546225692e-09,7.190861012351503e-09,8.677514431196006e-09,2.0815876182176335e-08,2.9971273853848273e-07,1.6546454137944187e-06,2.761079959079919e-06,7.351263113026815e-06,7.551626032641861e-06,-0.7241756491090164,-0.7201199391049272,-0.7179876323869657,-0.7005775824193137,-0.3005558653986886,1.6428238149033074,3.2297826743063114,9.81348150536441,10.100862003138817,10.100862003138817
23,geom_top2_prob,0.08780630224118986,0.13308938848409105,2.902302860142266e-06,3.2883528647230064e-06,4.7850740833979025e-06,1.012993744578863e-05,0.010985436937294,0.40648179401552936,0.4684294411659718,0.4993275950217743,0.4995527662186487,-0.6597325371949198,-0.659729636512837,-0.6597183905281967,-0.6596782305768792,-0.5772125499928847,2.3944470359666026,2.859905986947112,3.092066899306371,3.093758778722447,3.093758778722447
24,geom_expected_minus_pred,0.016833860992917882,0.15941488573271406,-0.48462193231233464,-0.47418757612843965,-0.4389509002392845,-0.28477115208477566,4.147668796972148e-06,0.3483229439432695,0.48086444182324223,0.5144060742088432,1.0077534807988657,-3.145602062194039,-3.0801479727849115,-2.8591104220744,-1.8919501255571907,-0.10557178049444368,2.0794111003294193,2.910835952975871,3.121240597632702,6.215979237142206,6.215979237142206
25,geom_p_down1,0.03701497031451224,0.09318666597285259,2.2437450117800218e-06,2.5506316550199658e-06,3.6339673021948168e-06,6.144154764592818e-06,0.00033069080935530003,0.2899529413303084,0.43714576422123663,0.4681971453902895,0.4686297694508137,-0.3971890847590052,-0.3971857915127019,-0.39717416607642436,-0.39714722888067655,-0.39366447036364527,2.7143150618725085,4.29386318020318,4.627080179061139,4.6317227323278285,4.6317227323278285
26,geom_p_up1,0.055403704178660945,0.11240925085721881,5.368458733144709e-07,6.082508062349636e-07,1.3701030317863268e-06,2.1233449406650086e-06,0.0011982426257568,0.3484121390664033,0.4683428541303379,0.4993275950217743,0.4995527662186487,-0.4928701767006723,-0.4928695414777491,-0.4928627639908453,-0.4928560631018781,-0.4822153082556828,2.606622076504353,3.673533510833449,3.9491757791979363,3.951178916796997,3.951178916796997
27,geom_p_down2,0.000131970537109326,0.0010022088966305186,0.0,0.0,0.0,0.0,3.966437420347772e-06,0.000244140758085359,0.002409589024597013,0.013786261279837987,0.0235310212488719,-0.13167967032922798,-0.13167967032922798,-0.13167967032922798,-0.13167967032922798,-0.1277219750486501,0.11192299465027244,2.2725985522032035,13.624196301424918,23.34747854507326,23.34747854507326
28,geom_p_up2,0.0011660318917660227,0.011531309036386122,2.102168138295423e-07,2.1023693264854155e-07,3.4663044736345645e-07,5.714910363300127e-07,1.582047995440726e-05,0.003033262963837183,0.019191800623147726,0.07663700751036226,0.3311375591246237,-0.1011005490593944,-0.10110054731468192,-0.10108871921136038,-0.10106921920591806,-0.09974682043315425,0.1619270688331448,1.5632022933825498,6.54487494702064,28.615270494586436,28.615270494586436
29,geom_local_asymmetry,0.018388733864148705,0.15378152644045082,-0.4685073359133384,-0.4679825586522907,-0.43640156044892997,-0.2687679285421841,-1.6834524785390823e-06,0.34739881590600424,0.4680971803984752,0.49919726717319796,0.4995480123035514,-3.1661544858317487,-3.1627420001243003,-2.9573792433981865,-1.8673027186885751,-0.11958794884084215,2.139464275439215,2.9243333509793725,3.1265688697350384,3.128849671197165,3.1661544858317487
30,geom_up_mass,0.05660975777752894,0.11565254758752253,2.3983214173154533e-06,2.4854629000519717e-06,3.071800311950285e-06,4.4678515890461104e-06,0.0012467028494716882,0.37122528235861335,0.4956637749145906,0.5067823238124474,0.6673418050839856,-0.48946054917876153,-0.48945979570220993,-0.48945472588382605,-0.4894426548027629,-0.4787015598265147,2.720351009501044,3.796319461141124,3.892456979334941,5.280748760370126,5.280748760370126
31,geom_down_mass,0.03784618824425898,0.09386526146666196,2.902302860142266e-06,3.0768726102538584e-06,4.2228232885078405e-06,8.939666295977532e-06,0.0009273227460021177,0.2936014746160208,0.43789163645384027,0.4694115237139711,0.4705257923739003,-0.4031660419423601,-0.40316418215155586,-0.4031519736874196,-0.4031017224769743,-0.3933176653576925,2.7247064822015994,4.2619116162763255,4.597710896730318,4.609581834311682,4.609581834311682
32,geom_signed_tail_mass,0.01876356953326998,0.15624521333330574,-0.4689746631226572,-0.46865320510327385,-0.4375615425837498,-0.2695046607663533,-1.4649526720251834e-06,0.35136165067840874,0.4688458310273861,0.5050672195979041,0.665821169292595,-3.121620318796411,-3.119562924444767,-2.920570188243636,-1.8449731940567236,-0.12009989993045112,2.1286929311276452,2.8806147202346017,3.1124387089365766,4.141295505667796,4.141295505667796
33,geom_up_distance_mass,0.057874787567668846,0.12006049598759855,5.538336111300105e-06,6.319807861931122e-06,8.810558263599682e-06,1.2359424939377822e-05,0.0013235714500472904,0.3775988875094855,0.4983370660605646,0.5668415125372984,1.0095462180890276,-0.48200075100085427,-0.4819942420176604,-0.4819734962229576,-0.48194393723566054,-0.47102267613039783,2.663024980130367,3.6686694892414287,4.239252226829069,7.926599192291027,7.926599192291027
34,geom_down_distance_mass,0.04104092657475086,0.09632090971138188,2.902302860142266e-06,3.2883528647230064e-06,4.554744074966996e-06,1.0070331942815112e-05,0.002441565641290217,0.29941207357053,0.4398332459169731,0.4870670750081868,0.4913925450865422,-0.4260551981377457,-0.42605119018136595,-0.42603804255626526,-0.42598077993401245,-0.4007370886458676,2.6823993644782655,4.140246604160741,4.630626410920731,4.675533275809323,4.675533275809323
35,geom_signed_distance_mass,0.016833860992917976,0.159414885732714,-0.4846219323123354,-0.474187576128439,-0.43895090023928546,-0.28477115208477644,4.14766879708589e-06,0.3483229439432694,0.4808644418232418,0.5144060742088418,1.007753480798865,-3.1456020621940457,-3.080147972784909,-2.8591104220744077,-1.8919501255571967,-0.10557178049444357,2.079411100329419,2.910835952975869,3.1212405976326933,6.215979237142204,6.215979237142204
36,geom_up_boundary_gap,0.850140349799551,0.23716932901579027,0.0,0.0,0.0,0.2446480619843005,0.9803962889221446,0.9999824656014924,0.9999894239755299,0.9999921690204254,0.9999921932925782,-3.584529050731304,-3.584529050731304,-3.584529050731304,-2.5529957449723106,0.5492107249412567,0.6317938176228733,0.6318231568889006,0.6318347310874147,0.6318348334284418,3.584529050731304
37,geom_down_boundary_gap,0.8685290836636997,0.2092745069726338,0.05553586448714981,0.06073914603956002,0.12423993575924105,0.3666343131130906,0.9837609746339504,0.9999745482132306,0.9999867591963281,0.9999904541190514,0.9999910513253865,-3.884817271522052,-3.859953843923149,-3.556520852307095,-2.3982604370260945,0.5506255522337427,0.6281007010888316,0.6281590502077666,0.6281767060741061,0.6281795597725508,3.884817271522052
38,geom_up_down_logratio,0.7816250345194553,4.440435566835954,-11.187499512173222,-8.440249985135173,-7.438124995051631,-5.99999999838106,-0.12499999744863766,8.937499823952125,10.563749920445096,11.562499775645117,11.562499789649088,-2.6954843430418953,-2.076795143370519,-1.8511134562927785,-1.5272432018944446,-0.2041747973418093,1.8367285521145762,2.202965168323774,2.427886764452616,2.427886767606354,2.6954843430418953
