layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,median_interaction_logp,negative_fraction,mean_abs_interaction
13,22,3,0.11624862750371294,0.008858072959507501,0.10739055454420543,0.1236266160849481,0.0,0.10739055454420543
13,23,3,0.1863421599070231,0.008987209604432134,0.17735495030259096,0.2496930428314955,0.0,0.17735495030259096
13,24,3,0.21498707930246988,0.0471680491076161,0.16781903019485375,0.12445798330008989,0.0,0.16781903019485375
13,25,3,-0.22742118438084916,-0.0007150617893784667,-0.2267061225914707,-0.18240424990654,1.0,0.2267061225914707
13,26,3,-0.10043265422185262,-0.020004439555729444,-0.08042821466612318,-0.1179321706295014,0.6666666666666666,0.0805564337254812
13,27,3,0.023055215676625603,-0.009375405032187667,0.03243062070881327,-0.00028095394372932566,0.6666666666666666,0.05077339879547555
13,28,3,-0.1862073938051859,0.008320698436970567,-0.19452809224215648,-0.24822236178442839,1.0,0.19452809224215648
13,29,3,-0.00022512674331665963,-0.010389060402909867,0.010163933659593205,0.030099779367446802,0.3333333333333333,0.09310840318600333
13,30,3,-0.038622001806894964,0.0093255981337279,-0.047947599940622865,-0.021023318171501198,0.6666666666666666,0.04886474064551294
13,31,3,-0.1229243675867716,0.008631616054723667,-0.13155598364149526,-0.12492883321829129,1.0,0.13155598364149526
18,0,3,-0.26666418711344403,0.017375119651357265,-0.28403930676480127,-0.2492384302895515,1.0,0.28403930676480127
18,1,3,0.03473796447118118,0.016846266419937184,0.017891698051244003,6.679701618850231e-05,0.0,0.017891698051244003
18,2,3,0.03379034002621967,0.008852612149591267,0.024937727876628398,0.0003963354974984,0.0,0.024937727876628398
18,3,3,-0.007329424222310403,-0.00017407094128426667,-0.007155353281026136,0.0002125627361238,0.3333333333333333,0.07556528140169873
18,4,3,-0.12141054868698116,-0.009750355190287033,-0.11166019349669415,-0.086940199136734,0.6666666666666666,0.11182709410786627
18,5,3,0.022940993309021007,-0.03229660525297121,0.05523759856199221,0.12550359847955406,0.3333333333333333,0.11218361789360642
18,6,3,-0.3702465891838074,-0.03181078471243382,-0.33843580447137356,-0.49702552729286253,1.0,0.33843580447137356
18,7,3,-0.10077355305353801,-0.009657515445724166,-0.09111603760781384,-0.025103360414505,0.6666666666666666,0.17425140358197191
18,8,3,-0.023281474908193,0.008914985538770697,-0.03219646044696369,0.00022239983081810753,0.3333333333333333,0.05041709371531997
18,9,3,0.018710692723592066,0.00015854734616969167,0.018552145377422374,0.000507733318954625,0.0,0.018552145377422374
18,10,3,-0.20518038670221958,0.0002883608685805959,-0.20546874757080016,-0.1251764515182002,1.0,0.20546874757080016
18,11,3,-0.16350919008255002,-0.00017909721160926223,-0.16333009287094072,-0.12381836515851312,1.0,0.16333009287094072
18,12,3,0.18956687053044638,0.009238435188308266,0.18032843534213808,0.24793054605834192,0.3333333333333333,0.2343792583948622
18,13,3,-0.9219305515289307,-0.32864832032161456,-0.5932822312073162,-0.7413932494819164,1.0,0.5932822312073162
18,14,3,-0.5884716908137003,-0.10807315640461938,-0.4803985344090809,-0.498675016220659,1.0,0.4803985344090809
18,15,3,0.06496020158131917,-0.020980174265180992,0.08594037584650016,0.12493993970565498,0.0,0.08594037584650016
18,16,3,-5.73794047038e-05,0.008661299323042245,-0.008718678727746045,0.0005009954329579693,0.3333333333333333,0.009388546769817556
18,17,3,-0.10065525770187378,0.00022813398391006664,-0.10088339168578382,-0.0545020103454589,1.0,0.10088339168578382
18,18,3,0.0012789567311604333,0.0002436057354013,0.0010353509957591333,0.0008909991011023,0.0,0.0010353509957591333
18,19,3,-0.04145465294520061,0.00902437868838505,-0.05047903163358566,-0.02669155597686762,0.6666666666666666,0.05051794943089283
18,20,3,-0.12405399481455487,0.00017295746753611196,-0.12422695228209098,-0.1241769148036837,0.6666666666666666,0.12435157317668195
18,21,3,-0.20429599285125724,-0.010101431747898454,-0.19419456110335878,-0.24796280590817324,1.0,0.19419456110335878
18,22,3,0.0005249977111816,-1.597233737506667e-05,0.0005409700485566668,0.0005271674599498001,0.0,0.0005409700485566668
18,23,3,-0.00786534945170086,0.008844966612135312,-0.016710316063836175,0.00018814718350766214,0.3333333333333333,0.06692127223747468
18,24,3,-0.08972727259000139,-0.00018795323558146667,-0.08953931935441993,-0.1244085426442325,0.6666666666666666,0.15862183777304986
18,25,3,0.05825970570246373,0.030168440736209366,0.028091264966254362,0.0001569690648466,0.3333333333333333,0.05498067856145397
18,26,3,0.09099576870600383,0.02389398659579459,0.06710178211020924,0.07592068612575531,0.0,0.06710178211020924
18,27,3,-0.0599087079366048,-7.205371124046666e-05,-0.059836654225364334,-0.0563887059688567,0.6666666666666666,0.06011612255436674
18,28,3,-0.040340602397918736,0.008848419024919445,-0.04918902142283818,-0.024199590086937,0.6666666666666666,0.04933504379975298
18,29,3,-0.06173151731491083,0.0087787916418165,-0.07051030895672733,-0.0002596299163996,1.0,0.07051030895672733
18,30,3,0.10791162649790448,0.03637491671058033,0.07153670978732414,-0.0003216865006833,0.6666666666666666,0.0724183520457396
18,31,3,0.09139429529507953,0.0169291870358089,0.07446510825927063,0.0985561609268189,0.3333333333333333,0.07446848306184016
23,0,3,0.3263412415981292,-0.009849817336847366,0.3361910589349766,0.3738392209634184,0.0,0.3361910589349766
23,1,3,0.0004534324010213355,-1.4885639150941536e-05,0.0004683180401722775,-0.00012892484664907538,0.6666666666666666,0.08307016842688113
23,2,3,-0.04119012753168744,0.008827017232154791,-0.050017144763842225,-0.0258643180131912,1.0,0.050017144763842225
23,3,3,0.04278628031412757,0.01703852702242631,0.025747753291701255,0.0008803626988082155,0.3333333333333333,0.05832627128499246
23,4,3,0.0040580630302428965,-0.020305902076264214,0.024363965106507113,0.0014284080825745402,0.3333333333333333,0.06012927523503698
23,5,3,-0.10915684700012207,0.016111800059055274,-0.1252686470591773,-0.1258064948488026,1.0,0.1252686470591773
23,6,3,-0.10223595301310218,-0.0098492943992217,-0.09238665861388046,-0.12412899453192949,1.0,0.09238665861388046
23,7,3,-0.15936328967412314,-0.02104034360187743,-0.13832294607224568,-0.25005073985084897,0.6666666666666666,0.27705386940700305
23,8,3,0.05008541544278463,0.009122593716407766,0.040962821726376865,0.12209177017211909,0.3333333333333333,0.12376035152313607
23,9,3,-0.0182831088701884,0.0001233086610834084,-0.01840641753127181,0.0006163786165415,0.3333333333333333,0.019253605045378125
23,10,3,-0.019433081150054866,-0.020871518179774267,0.0014384370297194006,-0.00022992608137419995,0.6666666666666666,0.0018509048968553341
23,11,3,-0.061182796955108636,-0.009973244974389667,-0.05120955198071897,-6.587081588799062e-05,0.6666666666666666,0.0514704408900191
23,12,3,-0.14824527502059934,-0.03260032289351027,-0.11564495212708907,-0.1242327024228871,1.0,0.11564495212708907
23,13,3,-0.08224215110143024,-0.009564413378636066,-0.07267773772279416,-0.12383394129574289,0.6666666666666666,0.09299469615022331
23,14,3,0.1580477257569631,-8.443021215499232e-05,0.1581321559691181,0.12402361445128918,0.0,0.1581321559691181
23,15,3,-0.2502725124359131,-0.020581312943249906,-0.22969119949266315,-0.25118474964983756,1.0,0.22969119949266315
23,16,3,-0.00805192192395523,-0.010280372109264099,0.0022284501853088675,0.0001148320734501,0.3333333333333333,0.08540832111611958
23,17,3,-0.0634255409240723,0.017630195128731367,-0.08105573605280367,0.0002214272972196,0.3333333333333333,0.08421641871488339
23,18,3,0.10635473330815637,-0.009941535536199761,0.11629626884435613,0.125630990602076,0.3333333333333333,0.13363732630386946
23,19,3,-0.2257043123245239,0.00010223236555854016,-0.22580654469008243,-0.24847371573559932,1.0,0.22580654469008243
23,20,3,0.021956523259480807,-0.00018914672546086562,0.022145669984941673,0.0004100799560546344,0.3333333333333333,0.06155355903320008
23,21,3,0.024060587088266996,-0.009507173361877534,0.03356776045014453,0.0011368391569703,0.3333333333333333,0.05098203228165699
23,22,3,-0.10700255632400509,0.008578662217284233,-0.11558121854128933,-0.1244000773876905,0.6666666666666666,0.13252291494670013
23,23,3,-0.12406798203786214,0.017030643299221968,-0.1410986253370841,-0.1242020556237548,1.0,0.1410986253370841
23,24,3,-0.3722585439682007,0.008723718114197301,-0.38098226208239794,-0.3735300104599447,1.0,0.38098226208239794
23,25,3,0.04170179367065427,9.521842002866565e-06,0.0416922718286514,0.0002993722446262274,0.0,0.0416922718286514
23,26,3,0.10218000411987299,0.017146352290486267,0.08503365182938673,0.004654541611671496,0.0,0.08503365182938673
23,27,3,-0.0601007541020711,0.00868442662370703,-0.06878518072577813,-0.0823671519756317,1.0,0.06878518072577813
23,28,3,-0.247257669766744,0.03073459956794977,-0.27799226933469373,-0.2504538362845777,1.0,0.27799226933469373
23,29,3,-0.2266417940457662,0.0244179033519079,-0.25105969739767403,-0.250134201021865,1.0,0.25105969739767403
23,30,3,-0.2682476242383321,-0.05886027938686311,-0.209387344851469,-0.2500063881743699,1.0,0.209387344851469
23,31,3,-0.16396278142929074,0.008981788298115093,-0.17294456972740582,-0.1460535824298857,1.0,0.17294456972740582
28,0,3,0.07531128327051793,0.009083187595630633,0.0662280956748873,0.0744276940822601,0.3333333333333333,0.06655812348860003
28,1,3,-0.042390545209248794,-0.00023608359818651017,-0.04215446161106229,-0.0025556087493895695,0.6666666666666666,0.042174135179569285
28,2,3,-0.14368365208307896,0.008703207674746699,-0.15238685975782565,-0.1245135590434074,1.0,0.15238685975782565
28,3,3,-0.08141285181045534,0.0002165643963962534,-0.08162941620685159,-0.12337568635120987,0.6666666666666666,0.08345500713524719
28,4,3,0.1604458441336949,0.02473890571855003,0.13570693841514486,0.1244105675723404,0.0,0.13570693841514486
28,5,3,-0.019036014874776234,0.030820851059009637,-0.049856865933785875,0.0007155698258428922,0.3333333333333333,0.050814216801275736
28,6,3,-0.0423410336176554,0.008951664281388095,-0.051292697899043484,-0.028572082519531198,1.0,0.051292697899043484
28,7,3,-0.08381201823552448,6.262011205154643e-05,-0.08387463834757602,-0.002698421478271476,1.0,0.08387463834757602
28,8,3,-0.04956851402918497,0.0166335446604838,-0.06620205868966876,-3.2992102205999982e-06,0.6666666666666666,0.09926497369694215
28,9,3,-0.10341157515843706,0.008811601204797634,-0.1122231763632347,-0.1251395626459271,1.0,0.11222317636323469
28,10,3,-0.2073947389920552,0.008484988318135331,-0.21587972731019053,-0.1489243805408477,1.0,0.21587972731019056
28,11,3,-0.42235968510309857,-0.020726648857817,-0.4016330362452815,-0.33499768376350403,1.0,0.4016330362452815
28,12,3,-0.0019458532333373332,-0.021563649332771634,0.019617796099434297,0.0004526022821665,0.0,0.019617796099434297
28,13,3,-0.10250377655029293,-0.00010194474210340001,-0.10240183180818953,-0.1243300659116358,1.0,0.10240183180818953
28,14,3,0.060156901677449505,0.009125422065456692,0.05103147961199281,0.027275443077087402,0.0,0.05103147961199281
28,15,3,0.042073825995127344,-0.009673693372557567,0.0517475193676849,0.029431402683258,0.3333333333333333,0.13420283375307915
28,16,3,0.21202061573664344,0.023890234452361866,0.18813038128428158,0.1902130395174027,0.0,0.18813038128428158
28,17,3,-0.16375670830408728,-0.0096319258833925,-0.15412478242069474,-0.1251915495377033,1.0,0.15412478242069474
28,18,3,1.2997214297453563,-0.2113964308518916,1.511117860597248,1.9995379028841855,0.0,1.511117860597248
28,19,3,0.6643132170041403,0.05069676941881577,0.6136164475853244,0.7483523737173527,0.0,0.6136164475853244
28,20,3,-0.04092685381571453,-0.000250696126992484,-0.04067615768872204,0.00037311553023752813,0.3333333333333333,0.04192884227571383
28,21,3,-0.16483402252197263,0.008341480124120932,-0.17317550264609358,-0.1461457759141921,1.0,0.17317550264609358
28,22,3,0.07517807682355239,0.008353171870112435,0.06682490495343997,0.0752402544021606,0.0,0.06682490495343997
28,23,3,-0.2311823566754659,0.016772182580704464,-0.2479545392561704,-0.25009575951844437,0.6666666666666666,0.25031659185575933
28,24,3,-0.08322298526763912,-0.010233231820166033,-0.07298975344747309,0.0004086841363459281,0.3333333333333333,0.09274027232701577
28,25,3,-0.12493832906087236,0.01731244501813,-0.14225077407900236,-0.1254039298510178,1.0,0.14225077407900236
28,26,3,0.03386421004931126,0.0242608146121104,0.009603395437200866,8.182437159119998e-05,0.0,0.009603395437200866
28,27,3,0.021957039833068837,0.00922639342024919,0.012730646412819652,-6.170151755213737e-05,0.6666666666666666,0.07035082128519814
28,28,3,-0.2271928588549296,-0.0005175146895149667,-0.2266753441654146,-0.1820723712444306,1.0,0.22667534416541466
28,29,3,-0.023149649302164694,0.017089402458320038,-0.040239051760484736,0.00045921816490588697,0.3333333333333333,0.04228071557978786
28,30,3,-0.0838192701339721,7.15725279102658e-05,-0.08389084266188236,-0.12461509229615321,1.0,0.08389084266188236
28,31,3,0.24029882748921705,-0.0006759298654893334,0.24097475735470641,0.2500331602059303,0.0,0.24097475735470641
33,0,3,-0.08261251449584961,0.008999461618562523,-0.09161197611441214,-0.026826858520507802,0.6666666666666666,0.09162191596503057
33,1,3,-0.994314432144165,-0.03263786435127256,-0.9616765677928925,-0.8742979033850133,1.0,0.9616765677928925
33,2,3,-0.0609724322954813,0.00904416285144783,-0.07001659514692914,-0.0847710222005843,1.0,0.07001659514692914
33,3,3,0.008070548375447599,0.008845572282249714,-0.0007750239068021108,-0.00011219666339454536,0.6666666666666666,0.08165976863044004
33,4,3,-0.023996353149414066,0.008558947748194145,-0.03255530089760821,-3.874907270073891e-05,0.6666666666666666,0.05041962753360468
33,5,3,0.2709830999374389,-0.00981191049019491,0.28079501042763383,0.24963088706135744,0.0,0.28079501042763383
33,6,3,-0.048123180866241434,0.017180794539550914,-0.06530397540579234,-0.12426280207000669,0.6666666666666666,0.10056053008884187
33,7,3,-0.29060262441635126,-0.09247877285815771,-0.19812385155819356,-0.1220916239544749,0.6666666666666666,0.21317156070532897
33,8,3,0.017451246579488135,0.008647502399981015,0.00880374417950712,-0.00023236987181,0.6666666666666666,0.009191345113019082
33,9,3,0.0406368970870972,0.008364558918401634,0.03227233816869557,-0.0006473031826318001,0.6666666666666666,0.05083025208053483
33,10,3,-0.050193568070729576,0.00874161712514857,-0.05893518519587814,-0.12458419427275651,0.6666666666666666,0.10746375711945194
33,11,3,0.008716563383738232,0.024299482038865478,-0.015582918655127245,-0.00013497075997291876,0.6666666666666666,0.06742873741313812
33,12,3,-0.041443188985188804,0.009002604288980335,-0.05044579327416914,-0.0271607786417006,0.6666666666666666,0.0505197960107276
33,13,3,-0.0420287450154622,0.008930573472753186,-0.05095931848821538,-0.0282804071903228,1.0,0.05095931848821538
33,14,3,-0.04030956824620567,0.008979166237016533,-0.049288734483222206,-0.0244065672159195,0.6666666666666666,0.04956142480174693
33,15,3,-0.0409537355105082,-0.009679758610824731,-0.03127397689968347,0.0002523867879062766,0.3333333333333333,0.051270176811764594
33,16,3,-0.0231499473253886,0.009100111589456566,-0.03225005891484516,-0.000246531330049,0.6666666666666666,0.05061574008626237
33,17,3,-0.059313694636027,4.555657505986668e-05,-0.05935925121108687,-0.0549061000347136,0.6666666666666666,0.059670931970079666
33,18,3,-0.023813207944234204,0.016577158356085465,-0.04039036630031967,-0.00022296700626610002,0.6666666666666666,0.04231920240757367
33,19,3,-0.0418291290601094,0.016661212391530456,-0.05849034145163986,-0.0508892089128493,1.0,0.05849034145163986
33,20,3,-0.0014324585596720285,0.0084004087063174,-0.009832867265989429,-0.0290450006723403,0.6666666666666666,0.09294890581319722
33,21,3,-0.14313218990961707,0.008890989391754095,-0.15202317930137116,-0.1245062670204789,1.0,0.15202317930137116
33,22,3,0.10058844089508052,0.01652802674410243,0.0840604141509781,0.002419471740722705,0.0,0.0840604141509781
33,23,3,-0.08290723959604895,-0.0002028079858670316,-0.08270443161018193,-0.00016161799430840527,0.6666666666666666,0.08289753715507682
33,24,3,-0.08025272687276204,-0.00010064112332957075,-0.08015208574943246,-0.11710122227668761,0.6666666666666666,0.0804821287747472
33,25,3,0.05921900272369383,-0.0002555277508993667,0.0594745304745932,0.0526485443115234,0.0,0.0594745304745932
33,26,3,-0.0416845480600993,0.008881040227909877,-0.050565588288009174,-0.0279372036457061,0.6666666666666666,0.0507169887423515
33,27,3,-0.02345945437749226,0.01694834542771179,-0.04040779980520406,3.82191501557827e-06,0.3333333333333333,0.04240679539119204
33,28,3,0.15887183944384253,-0.009837000553185699,0.16870883999702824,0.132107138633728,0.0,0.16870883999702824
33,29,3,0.018353601296742735,0.0170013009725759,0.0013523003241668347,0.0004177659284324,0.0,0.001352300324166835
33,30,3,-0.14276109139124551,0.017127083614468526,-0.15988817500571403,-0.12485291110351678,1.0,0.15988817500571403
33,31,3,-0.041447321573893234,0.0089558698236942,-0.05040319139758743,-0.0269856899976729,0.6666666666666666,0.05052464501932256
38,0,3,-0.04134635130564369,0.009054084851716908,-0.0504004361573606,-0.02704024314880365,0.6666666666666666,0.0504570354241877
38,1,3,-0.04104012250900268,0.009009893129890137,-0.05005001563889281,-0.0262790918350219,0.6666666666666666,0.05006861197762188
