sample_id,fold,ridge_alpha,threshold,baseline_correct,selected_alpha,selected_score,selected_utility
pccv2_n03_dense_r18,2,0.01,0.1,True,1.0,0.021175051824242758,0
pccv2_n03_dense_r19,1,0.01,0.1,False,4.0,0.3733352923778071,0
pccv2_n03_distractors_r00,5,0.01,0.1,False,4.0,0.20148358783788933,1
pccv2_n03_distractors_r01,4,0.01,0.1,True,1.0,-0.03473623603782888,0
pccv2_n03_distractors_r02,3,0.01,0.1,True,1.0,0.017824007109855197,0
pccv2_n03_distractors_r03,2,0.01,0.1,True,1.0,0.007318913948933054,0
pccv2_n03_distractors_r04,1,0.01,0.1,False,1.0,0.08554204007743277,0
pccv2_n03_distractors_r05,5,0.01,0.1,False,1.0,0.034219006416655415,0
pccv2_n03_distractors_r06,4,0.01,0.1,True,1.0,0.07751122075200004,0
pccv2_n03_distractors_r07,3,0.01,0.1,False,4.0,0.36057393823217543,1
pccv2_n03_distractors_r08,2,0.01,0.1,True,1.5,0.1256638416372596,0
pccv2_n03_distractors_r09,1,0.01,0.1,True,1.0,0.004665527873318103,0
pccv2_n03_distractors_r10,5,0.01,0.1,True,1.0,0.02912894595422156,0
pccv2_n03_distractors_r11,4,0.01,0.1,True,1.0,0.0008066056159926776,0
pccv2_n03_distractors_r12,3,0.01,0.1,False,4.0,0.20957616644497928,1
pccv2_n03_distractors_r13,2,0.01,0.1,True,1.0,0.050371821727223015,0
pccv2_n03_distractors_r14,1,0.01,0.1,True,1.0,-0.020531095619728164,0
pccv2_n03_distractors_r15,5,0.01,0.1,False,4.0,0.40723837293864296,1
pccv2_n03_distractors_r16,4,0.01,0.1,True,1.0,0.014063125225151603,0
pccv2_n03_distractors_r17,3,0.01,0.1,False,4.0,0.28534187008060125,1
pccv2_n03_distractors_r18,2,0.01,0.1,False,4.0,0.28205341465689115,1
pccv2_n03_distractors_r19,1,0.01,0.1,False,4.0,0.41458620846692407,1
pccv2_n03_grid_r00,5,0.01,0.1,True,1.0,0.036040980100987295,0
pccv2_n03_grid_r01,4,0.01,0.1,True,1.0,0.09237374517746416,0
pccv2_n03_grid_r02,3,0.01,0.1,True,1.0,0.028919260993418336,0
pccv2_n03_grid_r03,2,0.01,0.1,True,1.0,0.038596479001678535,0
pccv2_n03_grid_r04,1,0.01,0.1,True,1.0,0.040157332692601015,0
pccv2_n03_grid_r05,5,0.01,0.1,True,1.0,0.03424227114318664,0
pccv2_n03_grid_r06,4,0.01,0.1,True,4.0,0.1903293272875966,0
pccv2_n03_grid_r07,3,0.01,0.1,True,1.0,0.011352537928084203,0
pccv2_n03_grid_r08,2,0.01,0.1,True,1.0,0.033289146436916855,0
pccv2_n03_grid_r09,1,0.01,0.1,True,1.0,0.03879523069614609,0
pccv2_n03_grid_r10,5,0.01,0.1,True,1.0,0.010337909292223633,0
pccv2_n03_grid_r11,4,0.01,0.1,True,1.0,0.04127318158593775,0
pccv2_n03_grid_r12,3,0.01,0.1,True,1.0,0.03136606159630516,0
pccv2_n03_grid_r13,2,0.01,0.1,True,1.0,0.030592804018822056,0
pccv2_n03_grid_r14,1,0.01,0.1,True,1.0,0.06140545311268169,0
pccv2_n03_grid_r15,5,0.01,0.1,True,1.0,0.02983478499213129,0
pccv2_n03_grid_r16,4,0.01,0.1,True,1.0,0.0785732875284515,0
pccv2_n03_grid_r17,3,0.01,0.1,True,1.0,0.035295850851056895,0
pccv2_n03_grid_r18,2,0.01,0.1,True,1.0,0.01909359203448427,0
pccv2_n03_grid_r19,1,0.01,0.1,True,1.0,0.03817155149946116,0
pccv2_n03_random_sparse_r00,5,0.01,0.1,True,4.0,0.2780228355578086,0
pccv2_n03_random_sparse_r01,4,0.01,0.1,True,1.0,0.07331869566751875,0
pccv2_n03_random_sparse_r02,3,0.01,0.1,True,1.0,0.02028121028084283,0
pccv2_n03_random_sparse_r03,2,0.01,0.1,True,1.0,0.031531015200785856,0
pccv2_n03_random_sparse_r04,1,0.01,0.1,True,4.0,0.33062694580749813,-1
pccv2_n03_random_sparse_r05,5,0.01,0.1,True,4.0,0.2746542720541632,0
pccv2_n03_random_sparse_r06,4,0.01,0.1,True,4.0,0.10503330798164445,0
pccv2_n03_random_sparse_r07,3,0.01,0.1,True,1.0,0.047250799992166956,0
pccv2_n03_random_sparse_r08,2,0.01,0.1,True,4.0,0.16504701012597495,0
pccv2_n03_random_sparse_r09,1,0.01,0.1,True,1.0,0.047610013636368624,0
pccv2_n03_random_sparse_r10,5,0.01,0.1,True,1.0,0.027827757849496614,0
pccv2_n03_random_sparse_r11,4,0.01,0.1,True,1.0,0.036208321715253025,0
pccv2_n03_random_sparse_r12,3,0.01,0.1,True,1.0,0.09012747067098643,0
pccv2_n03_random_sparse_r13,2,0.01,0.1,True,4.0,0.13676033033288787,0
pccv2_n03_random_sparse_r14,1,0.01,0.1,True,1.0,0.05274782192463278,0
pccv2_n03_random_sparse_r15,5,0.01,0.1,True,1.0,0.03148827831293385,0
pccv2_n03_random_sparse_r16,4,0.01,0.1,True,4.0,0.1549726429240027,0
pccv2_n03_random_sparse_r17,3,0.01,0.1,True,4.0,0.12171876942942188,0
pccv2_n03_random_sparse_r18,2,0.01,0.1,True,1.0,0.05992818913059332,0
pccv2_n03_random_sparse_r19,1,0.01,0.1,True,1.0,0.03911926955912647,0
pccv2_n03_row_r00,5,0.01,0.1,True,4.0,0.10912763090229305,0
pccv2_n03_row_r01,4,0.01,0.1,True,4.0,0.22187428882883126,0
pccv2_n03_row_r02,3,0.01,0.1,True,4.0,0.10040893133567334,0
pccv2_n03_row_r03,2,0.01,0.1,True,1.0,0.0696784054841813,0
pccv2_n03_row_r04,1,0.01,0.1,True,4.0,0.11424720304079705,0
pccv2_n03_row_r05,5,0.01,0.1,True,4.0,0.13353655518338045,0
pccv2_n03_row_r06,4,0.01,0.1,True,4.0,0.1680732049403782,0
pccv2_n03_row_r07,3,0.01,0.1,True,1.0,0.09740843282402167,0
pccv2_n03_row_r08,2,0.01,0.1,True,1.0,0.09006627161325137,0
pccv2_n03_row_r09,1,0.01,0.1,True,4.0,0.164435345888574,0
pccv2_n03_row_r10,5,0.01,0.1,True,4.0,0.12679402632159878,0
pccv2_n03_row_r11,4,0.01,0.1,True,4.0,0.20466282436939803,0
pccv2_n03_row_r12,3,0.01,0.1,True,1.0,0.08169235182905621,0
pccv2_n03_row_r13,2,0.01,0.1,True,4.0,0.1091761712843286,0
pccv2_n03_row_r14,1,0.01,0.1,True,4.0,0.1198246995629138,0
pccv2_n03_row_r15,5,0.01,0.1,True,1.0,0.08894642866895994,0
pccv2_n03_row_r16,4,0.01,0.1,True,4.0,0.1311220880816163,0
pccv2_n03_row_r17,3,0.01,0.1,True,4.0,0.13430074471705386,0
pccv2_n03_row_r18,2,0.01,0.1,True,4.0,0.10344442666405257,0
pccv2_n03_row_r19,1,0.01,0.1,True,4.0,0.13709374558165083,0
pccv2_n04_dense_r00,5,0.01,0.1,True,1.0,0.07669482788325023,0
pccv2_n04_dense_r01,4,0.01,0.1,True,1.0,-0.0656342487193798,0
pccv2_n04_dense_r02,3,0.01,0.1,True,1.0,-0.06088936877733225,0
pccv2_n04_dense_r03,2,0.01,0.1,True,1.0,-0.011870472762103818,0
pccv2_n04_dense_r04,1,0.01,0.1,True,1.0,0.06119649566444129,0
pccv2_n04_dense_r05,5,0.01,0.1,False,4.0,0.32474440187320286,1
pccv2_n04_dense_r06,4,0.01,0.1,True,1.0,-0.006216829539669495,0
pccv2_n04_dense_r07,3,0.01,0.1,False,4.0,0.3242390588954995,1
