archive_path	original_local_path	category	lines	sha256
archive/historical_scripts/run_exhaustive_causal_screen.py	scripts/run_exhaustive_causal_screen.py	causal_discovery	643	e8d4dd77e3008d5eefb9fd7f6bee318a955417dfd970e0a40f118818f4fe1f73
archive/historical_scripts/run_full_probability_response_probe.py	scripts/run_full_probability_response_probe.py	controller_development	1589	40a83110440b5970cfa74b201c29c1e48fe69ecd6cb638a0e2884a685797905b
archive/historical_scripts/run_full_probability_response_probe_smoke_backup.py	scripts/run_full_probability_response_probe_smoke_backup.py	controller_development	1452	7ddc24528cf767bea18b2fd6b0d909570383742076a312788cd7033e2e4f48c9
archive/historical_scripts/run_full_response_router_benchmark.py	scripts/run_full_response_router_benchmark.py	controller_development	898	f9b64c1436be5b2e8ae218caf64fb2874b8a666d56b6436fd05dd0de47e29d86
archive/historical_scripts/run_gtfree_response_router_benchmark.py	scripts/run_gtfree_response_router_benchmark.py	controller_development	829	f7650a2a2590ad7519c908dce989894f4846ef9bc2ffe120bef8592f5b5ecfd7
archive/historical_scripts/run_learned_gain_gate.py	scripts/run_learned_gain_gate.py	controller_development	1092	41510d821ae17dd09c6722dccf83211ff39d6aeaa7764cebb0749d303373e49f
archive/historical_scripts/run_matched_attention.py	scripts/run_matched_attention.py	observational_attention	704	f3b92c34c8b6bd687d44a20e534ddb25bfe975c6b51056f1fc4d0d297e9cff7a
archive/historical_scripts/run_oracle_dam_v1_batch.py	scripts/run_oracle_dam_v1_batch.py	dam_oracle	688	af3871d5c3789725a20e0e168336e9ba729c3797837b9672832c7bc590a25a24
archive/historical_scripts/run_proc_count_baseline.py	scripts/run_proc_count_baseline.py	proc_count_v1	348	7caa12dbb618be5e40319750e8334429a556024440d61c8ea1397405dfefa422
archive/historical_scripts/run_proc_count_baseline_eager.py	scripts/run_proc_count_baseline_eager.py	proc_count_v1	349	7efd3ae53e0089963dd3f5dc8dacb7dcedcad93e8e6411759ff92a0013adb383
archive/historical_scripts/run_proc_count_causal_validation.py	scripts/run_proc_count_causal_validation.py	proc_count_v1	659	ad2f64f514f13036e9068f8c5ee310a7c52064fb375fe358ba258b513a972737
archive/historical_scripts/run_proc_count_causal_validation_eager.py	scripts/run_proc_count_causal_validation_eager.py	proc_count_v1	659	e217067000c2fc8cbc2c7bfc7ad07ef350ad4e6c1604426f594bcca5ef0b0d90
archive/historical_scripts/run_proc_count_circuit_gain_generation.py	scripts/run_proc_count_circuit_gain_generation.py	cardinality_steering	809	173f97b8592cf65e61741494c2006c307c9ea7ab1f72d2fb0ffb3a8a25b85bc3
archive/historical_scripts/run_proc_count_circuit_gain_generation_eager.py	scripts/run_proc_count_circuit_gain_generation_eager.py	cardinality_steering	809	2f0e7837f2b962b7508c3613cc0134cf8969d784ea66e22ca0ed9c6adaf26442
